date,lat,lon,gps,pressur,speed,external,internal,o-date,o-lat,o-lon,o-gpsalt,o-pressurealt,o-speed,o-externaltemp,o-internaltemp
1440692530300,52.17470000000002,11.715489999999994,911.5799999999998,902.4683333333338,25.677333333333326,19.19166666666667,28.043619791666668,1440692530300,52.17470000000002,11.715489999999994,911.5799999999998,902.4683333333338,25.777333333333324,19.19166666666667,28.271484375
1440692551086.9565,52.17531782608697,11.715486521739127,993.2304347826088,985.0291304347828,23.92130434782608,19.02652173913044,28.061311141304348,1440692551086.9565,52.17531782608697,11.71211913043478,1840.219130434783,871.5339130434785,26.053043478260864,19.02652173913044,28.188688858695652
1440692569833.3333,52.17770416666667,11.715394166666664,1087.4333333333332,1080.975416666667,25.356249999999992,18.721666666666668,28.125,1440692569833.3333,52.17770416666667,11.715236666666671,1493.2820833333328,1080.975416666667,26.169583333333332,18.721666666666668,28.165690104166668
1440692589064.516,52.17865322580646,11.715343225806453,1162.3032258064516,1164.634838709677,38.264838709677434,18.445806451612903,28.125,1440692589064.516,52.17865322580646,11.715087741935486,1059.2290322580645,1164.634838709677,38.09870967741937,18.445806451612903,28.140751008064516
1440692609666.6667,52.181126363636366,11.715101212121217,1281.3303030303027,1256.881818181818,52.89727272727271,18.134848484848483,28.125,1440692609666.6667,52.181126363636366,11.715101212121217,1281.3303030303027,1256.881818181818,52.89727272727271,18.134848484848483,28.198982007575758
1440692629764.7058,52.18137000000001,11.715100000000003,1347.3705882352938,1322.2676470588235,53.702352941176486,17.91,28.125,1440692629764.7058,52.18137000000001,11.715100000000003,1204.1799999999998,1322.2676470588235,53.702352941176486,17.91,28.038832720588236
1440692646117.647,52.18561147058819,11.716157941176467,1437.3647058823526,1419.026764705883,57.76235294117649,17.621470588235297,28.125,1440692646117.647,52.18561147058819,11.716157941176467,1437.3647058823526,1419.026764705883,57.76235294117649,17.621470588235297,28.19680606617647
1440692672000,52.18574,11.71619,1545.3499999999997,1512.6491666666668,57.17083333333334,17.305000000000003,28.125,1440692672000,52.18574,11.71619,1545.3499999999997,1512.6491666666668,66.58,17.305000000000003,28.165690104166668
1440692691296.2964,52.1918022222222,11.718323333333338,1546.6037037037038,1576.5840740740748,59.24888888888891,17.050000000000008,28.125,1440692691296.2964,52.1918022222222,11.718323333333338,1061.9899999999998,1576.5840740740748,67.04037037037038,17.050000000000008,28.16116898148148
1440692704000,52.19542041666667,11.720545416666669,1608.8041666666659,1653.2200000000003,59.26249999999998,16.70333333333333,28.125,1440692704000,52.19542041666667,11.720545416666669,719.2104166666668,1653.2200000000003,62.02791666666664,16.70333333333333,28.4912109375
